Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
Belgium,26,55.46153846153846,51.22751158198305,4.2340268795554,4.997120996472016,8.96075025516867,-0.3023223048975598,Europe,High_Income
Chile,26,46.38461538461539,41.764417225291105,4.620198159324276,5.522907605145435,9.231128558609171,0.0733151610798015,South_America,High_Income
Poland,26,43.0,38.36131881990723,4.638681180092769,5.032209568526717,8.976579859022372,-0.03561580300524639,Europe,High_Income
Czech Republic,26,47.92307692307692,43.27996110742155,4.643115815655377,4.8917880474226365,8.686675861422707,0.10593616224516665,Europe,High_Income
Malaysia,26,41.36538461538461,36.72185027079816,4.643534344586458,4.77762731961938,7.069862212838537,0.03731409341540541,Asia,Upper_Middle_Income
Uzbekistan,8,23.4375,18.653388928554563,4.784111071445437,5.264380794579085,8.857586342009743,-0.3807494309707608,Asia,Lower_Middle_Income
Germany,26,60.0,54.83960422788669,5.160395772113312,5.438320402701746,9.700224599056448,-0.20561602353824696,Europe,High_Income
United Arab Emirates,26,52.03846153846154,46.802340929790276,5.236120608671267,6.109209963874877,10.500888934176132,0.3471555153222101,Asia,High_Income
New Zealand,26,57.71153846153846,52.34598804044219,5.365550421096274,5.756464532473046,8.81701031791566,-0.07397339567142097,Oceania,High_Income
Morocco,26,30.403846153846153,24.969945106585463,5.433901047260695,5.599567900548771,7.783339843877279,0.1597766733869287,Africa,Lower_Middle_Income
Bangladesh,16,23.53125,17.80962809829401,5.7216219017059915,6.101742519131527,9.122607213193813,-0.4113596409953297,Asia,Lower_Middle_Income
Colombia,26,31.865384615384617,25.75939684832952,6.105987767055098,6.531832649267351,10.334277070239747,-0.188515435439146,South_America,Upper_Middle_Income
Slovakia,26,44.03846153846154,37.82525768569926,6.213203852762276,7.011683225717341,10.789613035565942,0.2676018536787525,Europe,High_Income
Saudi Arabia,26,45.11538461538461,38.85288045589716,6.262504159487457,7.94987309784646,17.589694076936105,0.5459170489141184,Asia,High_Income
United Kingdom,26,58.03846153846154,51.63864518974232,6.399816348719226,6.835475159884653,9.854990218428895,-0.2913569481204854,Europe,High_Income
Canada,26,59.76923076923077,53.28490433679383,6.484326432436946,6.543485328186688,7.890505639958306,0.07711527688364953,North_America,High_Income
Australia,26,59.59615384615385,52.944461037564224,6.651692808589622,6.774838876401288,9.47570306962185,0.04050075260367521,Oceania,High_Income
Russia,22,32.93181818181818,26.264069759693015,6.667748422125166,7.640994150089441,13.596828339897034,0.3377236300246118,Europe,Upper_Middle_Income
Guatemala,26,27.46153846153846,20.613164578146662,6.8483738833918,7.340260877207329,11.485498530081472,-0.04631948425350487,North_America,Upper_Middle_Income
Peru,26,33.57692307692308,26.358823101315878,7.218099975607197,8.305460140984092,13.468934110571176,0.1575044065063139,South_America,Upper_Middle_Income
United States,26,59.46153846153846,51.956926955355165,7.504611506183295,7.5579289100517295,9.689698067365946,-0.052153556066418784,North_America,High_Income
Botswana,25,43.38,35.7452145255138,7.6347854744862005,7.900984254073925,11.789413888366823,-0.24788684767129165,Africa,Upper_Middle_Income
Mozambique,19,15.0,6.968957470410586,8.031042529589413,9.614886638696621,16.63287346604782,-0.27637626858930003,Africa,Lower_Middle_Income
France,26,57.69230769230769,49.64875686617468,8.043550826133016,8.476160960618113,12.511680116405728,-0.4395372562950317,Europe,High_Income
Kazakhstan,26,33.92307692307692,25.846736861499533,8.076340061577394,8.655255365019123,13.655294828919299,-0.03554613820719389,Asia,Upper_Middle_Income
Thailand,26,38.19230769230769,29.976775086873015,8.215532605434674,8.575230277794093,12.511722438359232,0.31258132808407935,Asia,Upper_Middle_Income
Mexico,26,37.03846153846154,28.584173005826603,8.45428853263494,9.110323742230058,14.117448755780885,0.18662486423620733,North_America,Upper_Middle_Income
Philippines,26,31.442307692307693,22.834984827933912,8.607322864373781,9.96030163121509,14.587180471873442,0.10283420899187817,Asia,Lower_Middle_Income
India,26,32.36538461538461,23.27955464679307,9.085829968591543,9.195292081643808,11.7009030877432,0.18251246486500236,Asia,Lower_Middle_Income
Taiwan,26,51.69230769230769,41.006718464187955,10.68558922811974,10.774431134755766,14.550995089916078,-0.05815772518690238,Asia,High_Income
Isle of Man,26,56.65384615384615,42.83654513540306,13.817301018443102,14.789532025767262,22.376727323519276,-0.6097389652347155,Europe,High_Income
European Union,26,59.19230769230769,39.607897293629016,19.584410398678678,19.674249012877468,23.662412792968986,-0.18609584037563195,Europe,High_Income
China,26,46.32692307692308,26.612043816345402,19.714879260577675,19.865196565863428,23.856921539378664,-0.012660423922337856,Asia,Upper_Middle_Income
