ISO3,Year,RuleOfLaw
CHN,2004,-0.721682
CIV,2004,-1.44919
CMR,2004,-0.988837
COD,2004,-1.672716
COG,2004,-1.029598
COL,2004,-0.532234
COM,2004,-1.232284
CPV,2004,0.236435
CRI,2004,0.55308
CUB,2004,-1.135348
CYM,2004,0.792567
CYP,2004,0.996348
CZE,2004,0.680568
DEU,2004,1.670788
DJI,2004,-0.914236
DMA,2004,0.620652
DNK,2004,1.911876
DOM,2004,-0.632563
DZA,2004,-0.63024
ECU,2004,-0.677649
EGY,2004,-0.125036
ERI,2004,-1.174172
ESP,2004,1.045791
EST,2004,0.790332
ETH,2004,-1.000451
FIN,2004,1.974213
FJI,2004,-0.082147
FRA,2004,1.303909
FSM,2004,0.841814
GAB,2004,-0.455823
GBR,2004,1.564658
GEO,2004,-0.535823
GHA,2004,-0.189166
GIN,2004,-1.268328
GMB,2004,-0.705748
GNB,2004,-1.254871
GNQ,2004,-1.325486
GRC,2004,0.916391
GRD,2004,0.312831
GTM,2004,-0.893657
GUF,2004,0.297786
GUM,2004,0.668872
GUY,2004,-0.449331
HKG,2004,1.433856
HND,2004,-0.819042
HRV,2004,0.152254
HTI,2004,-1.660811
HUN,2004,0.839141
IDN,2004,-0.769981
IND,2004,0.057514
IRL,2004,1.503026
IRN,2004,-0.958089
IRQ,2004,-1.756557
ISL,2004,1.827785
ISR,2004,0.881354
ITA,2004,0.682404
JAM,2004,-0.218988
JOR,2004,0.108231
JPN,2004,1.158615
KAZ,2004,-0.96487
KEN,2004,-0.729507
KGZ,2004,-0.631593
KHM,2004,-1.233061
KIR,2004,0.557753
KNA,2004,0.723259
KOR,2004,0.875465
KWT,2004,0.502197
